School,est,var,description,type
Barrow,1.2254388875596882,AUTO REPAIR AND MAINTENANCE,Third Closest Autmotive Repair and Maintenance,count
Chase Street,0.4505532482054035,CONVENIENCE STORES,Third Closest Convenience Store,count
Chase Street,0.5474230437567789,SUPERMARKETS AND OTHER GROCERY (EXCEPT CONVENIENCE),Third Closest Supermarket and Grocery Store,count
Chase Street,0.2985002773851026,OFFICE OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS),Third Closest Physicians Office,count
Chase Street,0.4711207439520043,OFFICES OF MENTAL HEALTH PRACTITIONERS (EXCEPT PHYSICIANS),Third Closest Mental Health Practitioner or Outpatient Center,count
Chase Street,0.4387334585583651,OFFICES OF DENTISTS,Third Closest Dentist,count
Chase Street,0.7002067971015928,PHARMACIES AND DRUG RETAILERS,Third Closest Pharmacy and Drug Retailer,count
Chase Street,0.647318723126504,FITNESS AND RECREATIONAL SPORTS CENTERS,Third Closest Fitness and Recreactional Center,count
Chase Street,1.8577963098434165,CHILD DAY CARE SERVICES,Third Closest Child Day Care Services,count
Chase Street,0.3069519777072437,REAL ESTATE PROPERTY MANAGERS,Third Closest Real Estate Property Manager,count
Chase Street,0.4063343613133612,OFFICES OF LAWYERS,Third Closest Office of Lawyers,count
Chase Street,0.37526415025239845,NON-PROFIT ORGANIZATION,Third Closest Non-Profit Organization,count
Chase Street,0.721125247601111,NEW AND USED CAR DEALERS,Third Closest New and Used Car Dealer,count
Chase Street,0.7822207761427594,AUTO REPAIR AND MAINTENANCE,Third Closest Autmotive Repair and Maintenance,count
Choice Zone-East,0.7191665364872852,CONVENIENCE STORES,Third Closest Convenience Store,count
Choice Zone-East,0.913297760870047,SUPERMARKETS AND OTHER GROCERY (EXCEPT CONVENIENCE),Third Closest Supermarket and Grocery Store,count
Choice Zone-East,0.8116578093565355,OFFICE OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS),Third Closest Physicians Office,count
Choice Zone-East,0.8042160711153209,OFFICES OF MENTAL HEALTH PRACTITIONERS (EXCEPT PHYSICIANS),Third Closest Mental Health Practitioner or Outpatient Center,count
Choice Zone-East,2.74176793852367,OFFICES OF DENTISTS,Third Closest Dentist,count
Choice Zone-East,1.1360948769758257,PHARMACIES AND DRUG RETAILERS,Third Closest Pharmacy and Drug Retailer,count
Choice Zone-East,0.9823869362373152,FITNESS AND RECREATIONAL SPORTS CENTERS,Third Closest Fitness and Recreactional Center,count
Choice Zone-East,1.1552257471734309,CHILD DAY CARE SERVICES,Third Closest Child Day Care Services,count
Choice Zone-East,0.6476254302184369,REAL ESTATE PROPERTY MANAGERS,Third Closest Real Estate Property Manager,count
Choice Zone-East,1.141344420403874,OFFICES OF LAWYERS,Third Closest Office of Lawyers,count
Choice Zone-East,0.9139814367328652,NON-PROFIT ORGANIZATION,Third Closest Non-Profit Organization,count
Choice Zone-East,3.9223138956135526,NEW AND USED CAR DEALERS,Third Closest New and Used Car Dealer,count
Choice Zone-East,1.3200562574836832,AUTO REPAIR AND MAINTENANCE,Third Closest Autmotive Repair and Maintenance,count
Choice Zone-West,1.0869665690297867,CONVENIENCE STORES,Third Closest Convenience Store,count
Choice Zone-West,2.2326899713817525,SUPERMARKETS AND OTHER GROCERY (EXCEPT CONVENIENCE),Third Closest Supermarket and Grocery Store,count
Choice Zone-West,0.9870864703099907,OFFICE OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS),Third Closest Physicians Office,count
Choice Zone-West,2.0783431506880445,OFFICES OF MENTAL HEALTH PRACTITIONERS (EXCEPT PHYSICIANS),Third Closest Mental Health Practitioner or Outpatient Center,count
Choice Zone-West,1.6078763058850554,OFFICES OF DENTISTS,Third Closest Dentist,count
Choice Zone-West,2.021200370260979,PHARMACIES AND DRUG RETAILERS,Third Closest Pharmacy and Drug Retailer,count
Choice Zone-West,2.57151050030006,FITNESS AND RECREATIONAL SPORTS CENTERS,Third Closest Fitness and Recreactional Center,count
Choice Zone-West,2.72586990345552,CHILD DAY CARE SERVICES,Third Closest Child Day Care Services,count
Choice Zone-West,1.9388273005152243,REAL ESTATE PROPERTY MANAGERS,Third Closest Real Estate Property Manager,count
Choice Zone-West,2.2604351572825108,OFFICES OF LAWYERS,Third Closest Office of Lawyers,count
Choice Zone-West,1.8043913247844847,NON-PROFIT ORGANIZATION,Third Closest Non-Profit Organization,count
Choice Zone-West,2.1624571552381062,NEW AND USED CAR DEALERS,Third Closest New and Used Car Dealer,count
Choice Zone-West,2.250595954350384,AUTO REPAIR AND MAINTENANCE,Third Closest Autmotive Repair and Maintenance,count
Cleveland Road,1.070259382609181,CONVENIENCE STORES,Third Closest Convenience Store,count
Cleveland Road,2.416923172716853,SUPERMARKETS AND OTHER GROCERY (EXCEPT CONVENIENCE),Third Closest Supermarket and Grocery Store,count
Cleveland Road,3.5338698355578835,OFFICE OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS),Third Closest Physicians Office,count
Cleveland Road,1.1792366621591115,OFFICES OF MENTAL HEALTH PRACTITIONERS (EXCEPT PHYSICIANS),Third Closest Mental Health Practitioner or Outpatient Center,count
Cleveland Road,2.1089295173816924,OFFICES OF DENTISTS,Third Closest Dentist,count
Cleveland Road,3.2607697096312163,PHARMACIES AND DRUG RETAILERS,Third Closest Pharmacy and Drug Retailer,count
Cleveland Road,1.5178949799720771,FITNESS AND RECREATIONAL SPORTS CENTERS,Third Closest Fitness and Recreactional Center,count
Cleveland Road,2.877638638058508,CHILD DAY CARE SERVICES,Third Closest Child Day Care Services,count
Cleveland Road,0.976941996927726,REAL ESTATE PROPERTY MANAGERS,Third Closest Real Estate Property Manager,count
Cleveland Road,1.7629645702712975,OFFICES OF LAWYERS,Third Closest Office of Lawyers,count
Cleveland Road,1.5291354363226213,NON-PROFIT ORGANIZATION,Third Closest Non-Profit Organization,count
Cleveland Road,0.8998548419216104,NEW AND USED CAR DEALERS,Third Closest New and Used Car Dealer,count
Cleveland Road,0.9261532871825068,AUTO REPAIR AND MAINTENANCE,Third Closest Autmotive Repair and Maintenance,count
Fowler Drive,1.205056835657935,CONVENIENCE STORES,Third Closest Convenience Store,count
Fowler Drive,1.8211899550152284,SUPERMARKETS AND OTHER GROCERY (EXCEPT CONVENIENCE),Third Closest Supermarket and Grocery Store,count
Fowler Drive,1.8524776113061796,OFFICE OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS),Third Closest Physicians Office,count
Fowler Drive,2.5252670292179475,OFFICES OF MENTAL HEALTH PRACTITIONERS (EXCEPT PHYSICIANS),Third Closest Mental Health Practitioner or Outpatient Center,count
Fowler Drive,2.5002114141634793,OFFICES OF DENTISTS,Third Closest Dentist,count
Fowler Drive,2.7941499697281045,PHARMACIES AND DRUG RETAILERS,Third Closest Pharmacy and Drug Retailer,count
Fowler Drive,2.473938459790647,FITNESS AND RECREATIONAL SPORTS CENTERS,Third Closest Fitness and Recreactional Center,count
Fowler Drive,2.333365447878061,CHILD DAY CARE SERVICES,Third Closest Child Day Care Services,count
Fowler Drive,1.2585140080751571,REAL ESTATE PROPERTY MANAGERS,Third Closest Real Estate Property Manager,count
Fowler Drive,2.699319448305824,OFFICES OF LAWYERS,Third Closest Office of Lawyers,count
Fowler Drive,2.234505892035493,NON-PROFIT ORGANIZATION,Third Closest Non-Profit Organization,count
Fowler Drive,1.0931162823892662,NEW AND USED CAR DEALERS,Third Closest New and Used Car Dealer,count
Fowler Drive,0.978120919995946,AUTO REPAIR AND MAINTENANCE,Third Closest Autmotive Repair and Maintenance,count
Gaines,0.6172617489722403,CONVENIENCE STORES,Third Closest Convenience Store,count
Gaines,1.1272936790779555,SUPERMARKETS AND OTHER GROCERY (EXCEPT CONVENIENCE),Third Closest Supermarket and Grocery Store,count
Gaines,1.1991066291368326,OFFICE OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS),Third Closest Physicians Office,count
Gaines,1.1186966311972253,OFFICES OF MENTAL HEALTH PRACTITIONERS (EXCEPT PHYSICIANS),Third Closest Mental Health Practitioner or Outpatient Center,count
Gaines,1.842501404886186,OFFICES OF DENTISTS,Third Closest Dentist,count
Gaines,1.3738873125387672,PHARMACIES AND DRUG RETAILERS,Third Closest Pharmacy and Drug Retailer,count
Gaines,0.9767182235503582,FITNESS AND RECREATIONAL SPORTS CENTERS,Third Closest Fitness and Recreactional Center,count
Gaines,1.1954762672366814,CHILD DAY CARE SERVICES,Third Closest Child Day Care Services,count
Gaines,0.4530770046872222,REAL ESTATE PROPERTY MANAGERS,Third Closest Real Estate Property Manager,count
Gaines,0.8229088477967912,OFFICES OF LAWYERS,Third Closest Office of Lawyers,count
Gaines,1.292675423893047,NON-PROFIT ORGANIZATION,Third Closest Non-Profit Organization,count
Gaines,2.275684524827448,NEW AND USED CAR DEALERS,Third Closest New and Used Car Dealer,count
Gaines,0.7274820741898629,AUTO REPAIR AND MAINTENANCE,Third Closest Autmotive Repair and Maintenance,count
Howard B Stroud,0.8491014674177536,CONVENIENCE STORES,Third Closest Convenience Store,count
Howard B Stroud,1.233357419382602,SUPERMARKETS AND OTHER GROCERY (EXCEPT CONVENIENCE),Third Closest Supermarket and Grocery Store,count
Howard B Stroud,1.5162133519012209,OFFICE OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS),Third Closest Physicians Office,count
Howard B Stroud,1.3985442896783598,OFFICES OF MENTAL HEALTH PRACTITIONERS (EXCEPT PHYSICIANS),Third Closest Mental Health Practitioner or Outpatient Center,count
Howard B Stroud,1.6733244763127977,OFFICES OF DENTISTS,Third Closest Dentist,count
Howard B Stroud,1.34938019633906,PHARMACIES AND DRUG RETAILERS,Third Closest Pharmacy and Drug Retailer,count
Howard B Stroud,1.1275083111369102,FITNESS AND RECREATIONAL SPORTS CENTERS,Third Closest Fitness and Recreactional Center,count
Howard B Stroud,1.8140352884524955,CHILD DAY CARE SERVICES,Third Closest Child Day Care Services,count
Howard B Stroud,0.5182322660405911,REAL ESTATE PROPERTY MANAGERS,Third Closest Real Estate Property Manager,count
Howard B Stroud,1.2476716701729471,OFFICES OF LAWYERS,Third Closest Office of Lawyers,count
Howard B Stroud,1.0874553121749984,NON-PROFIT ORGANIZATION,Third Closest Non-Profit Organization,count
Howard B Stroud,1.3685855588293323,NEW AND USED CAR DEALERS,Third Closest New and Used Car Dealer,count
Howard B Stroud,1.10115826463419,AUTO REPAIR AND MAINTENANCE,Third Closest Autmotive Repair and Maintenance,count
Judia Jackson Harris,0.952608111802617,CONVENIENCE STORES,Third Closest Convenience Store,count
Judia Jackson Harris,1.755775107505539,SUPERMARKETS AND OTHER GROCERY (EXCEPT CONVENIENCE),Third Closest Supermarket and Grocery Store,count
Judia Jackson Harris,3.151393151942639,OFFICE OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS),Third Closest Physicians Office,count
Judia Jackson Harris,4.512038742825247,OFFICES OF MENTAL HEALTH PRACTITIONERS (EXCEPT PHYSICIANS),Third Closest Mental Health Practitioner or Outpatient Center,count
Judia Jackson Harris,4.180406778722648,OFFICES OF DENTISTS,Third Closest Dentist,count
Judia Jackson Harris,4.785994762454397,PHARMACIES AND DRUG RETAILERS,Third Closest Pharmacy and Drug Retailer,count
Judia Jackson Harris,4.4695519610026135,FITNESS AND RECREATIONAL SPORTS CENTERS,Third Closest Fitness and Recreactional Center,count
Judia Jackson Harris,3.66077461165632,CHILD DAY CARE SERVICES,Third Closest Child Day Care Services,count
Judia Jackson Harris,3.001864796580108,REAL ESTATE PROPERTY MANAGERS,Third Closest Real Estate Property Manager,count
Judia Jackson Harris,4.627152306224172,OFFICES OF LAWYERS,Third Closest Office of Lawyers,count
Judia Jackson Harris,4.1583797805748075,NON-PROFIT ORGANIZATION,Third Closest Non-Profit Organization,count
Judia Jackson Harris,2.2352647045690603,NEW AND USED CAR DEALERS,Third Closest New and Used Car Dealer,count
Judia Jackson Harris,1.380404731238712,AUTO REPAIR AND MAINTENANCE,Third Closest Autmotive Repair and Maintenance,count
Oglethorpe,0.9830540095027344,CONVENIENCE STORES,Third Closest Convenience Store,count
Oglethorpe,1.7461623071953425,SUPERMARKETS AND OTHER GROCERY (EXCEPT CONVENIENCE),Third Closest Supermarket and Grocery Store,count
Oglethorpe,1.0329733343598373,OFFICE OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS),Third Closest Physicians Office,count
Oglethorpe,1.476029832523262,OFFICES OF MENTAL HEALTH PRACTITIONERS (EXCEPT PHYSICIANS),Third Closest Mental Health Practitioner or Outpatient Center,count
Oglethorpe,1.4279012311934651,OFFICES OF DENTISTS,Third Closest Dentist,count
Oglethorpe,1.5301625089903217,PHARMACIES AND DRUG RETAILERS,Third Closest Pharmacy and Drug Retailer,count
Oglethorpe,1.6695366231795046,FITNESS AND RECREATIONAL SPORTS CENTERS,Third Closest Fitness and Recreactional Center,count
Oglethorpe,1.7962457467757,CHILD DAY CARE SERVICES,Third Closest Child Day Care Services,count
Oglethorpe,0.7884558708907081,REAL ESTATE PROPERTY MANAGERS,Third Closest Real Estate Property Manager,count
Oglethorpe,1.6168939525993389,OFFICES OF LAWYERS,Third Closest Office of Lawyers,count
Oglethorpe,1.4433347157865517,NON-PROFIT ORGANIZATION,Third Closest Non-Profit Organization,count
Oglethorpe,1.3890044537448016,NEW AND USED CAR DEALERS,Third Closest New and Used Car Dealer,count
Oglethorpe,1.4694838540038633,AUTO REPAIR AND MAINTENANCE,Third Closest Autmotive Repair and Maintenance,count
Timothy Rd.,0.975265602422041,CONVENIENCE STORES,Third Closest Convenience Store,count
Timothy Rd.,1.199505373076605,SUPERMARKETS AND OTHER GROCERY (EXCEPT CONVENIENCE),Third Closest Supermarket and Grocery Store,count
Timothy Rd.,1.8285901777890232,OFFICE OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS),Third Closest Physicians Office,count
Timothy Rd.,1.3258931243440242,OFFICES OF MENTAL HEALTH PRACTITIONERS (EXCEPT PHYSICIANS),Third Closest Mental Health Practitioner or Outpatient Center,count
Timothy Rd.,1.5591645220858406,OFFICES OF DENTISTS,Third Closest Dentist,count
Timothy Rd.,1.716507588223474,PHARMACIES AND DRUG RETAILERS,Third Closest Pharmacy and Drug Retailer,count
Timothy Rd.,0.9782661348029882,FITNESS AND RECREATIONAL SPORTS CENTERS,Third Closest Fitness and Recreactional Center,count
Timothy Rd.,1.3548100560535898,CHILD DAY CARE SERVICES,Third Closest Child Day Care Services,count
Timothy Rd.,0.5121664157289564,REAL ESTATE PROPERTY MANAGERS,Third Closest Real Estate Property Manager,count
Timothy Rd.,1.1453587648843913,OFFICES OF LAWYERS,Third Closest Office of Lawyers,count
Timothy Rd.,1.366365285400838,NON-PROFIT ORGANIZATION,Third Closest Non-Profit Organization,count
Timothy Rd.,0.906097692383085,NEW AND USED CAR DEALERS,Third Closest New and Used Car Dealer,count
Timothy Rd.,1.12077880387285,AUTO REPAIR AND MAINTENANCE,Third Closest Autmotive Repair and Maintenance,count
Whit Davis,2.2044199576698436,CONVENIENCE STORES,Third Closest Convenience Store,count
Whit Davis,2.436465608745286,SUPERMARKETS AND OTHER GROCERY (EXCEPT CONVENIENCE),Third Closest Supermarket and Grocery Store,count
Whit Davis,2.4836546280185323,OFFICE OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS),Third Closest Physicians Office,count
Whit Davis,2.3377126656654537,OFFICES OF MENTAL HEALTH PRACTITIONERS (EXCEPT PHYSICIANS),Third Closest Mental Health Practitioner or Outpatient Center,count
Whit Davis,4.66523036706937,OFFICES OF DENTISTS,Third Closest Dentist,count
Whit Davis,2.7425649584157235,PHARMACIES AND DRUG RETAILERS,Third Closest Pharmacy and Drug Retailer,count
Whit Davis,2.4333952805626335,FITNESS AND RECREATIONAL SPORTS CENTERS,Third Closest Fitness and Recreactional Center,count
Whit Davis,2.761451167114413,CHILD DAY CARE SERVICES,Third Closest Child Day Care Services,count
Whit Davis,1.3064650204656096,REAL ESTATE PROPERTY MANAGERS,Third Closest Real Estate Property Manager,count
Whit Davis,2.5858717852790507,OFFICES OF LAWYERS,Third Closest Office of Lawyers,count
Whit Davis,2.4433519374754074,NON-PROFIT ORGANIZATION,Third Closest Non-Profit Organization,count
Whit Davis,5.745464991170687,NEW AND USED CAR DEALERS,Third Closest New and Used Car Dealer,count
Whit Davis,3.270677680560588,AUTO REPAIR AND MAINTENANCE,Third Closest Autmotive Repair and Maintenance,count
Whitehead Rd.,1.2903690218700508,CONVENIENCE STORES,Third Closest Convenience Store,count
Whitehead Rd.,2.550623044036892,SUPERMARKETS AND OTHER GROCERY (EXCEPT CONVENIENCE),Third Closest Supermarket and Grocery Store,count
Whitehead Rd.,1.3874174381182194,OFFICE OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS),Third Closest Physicians Office,count
Whitehead Rd.,1.805362519357012,OFFICES OF MENTAL HEALTH PRACTITIONERS (EXCEPT PHYSICIANS),Third Closest Mental Health Practitioner or Outpatient Center,count
Whitehead Rd.,1.7181278601381524,OFFICES OF DENTISTS,Third Closest Dentist,count
Whitehead Rd.,1.8785897956342248,PHARMACIES AND DRUG RETAILERS,Third Closest Pharmacy and Drug Retailer,count
Whitehead Rd.,2.4723952709760217,FITNESS AND RECREATIONAL SPORTS CENTERS,Third Closest Fitness and Recreactional Center,count
Whitehead Rd.,2.1140153417482774,CHILD DAY CARE SERVICES,Third Closest Child Day Care Services,count
Whitehead Rd.,1.4482881441148578,REAL ESTATE PROPERTY MANAGERS,Third Closest Real Estate Property Manager,count
Whitehead Rd.,2.310980926347637,OFFICES OF LAWYERS,Third Closest Office of Lawyers,count
Whitehead Rd.,1.688393343897184,NON-PROFIT ORGANIZATION,Third Closest Non-Profit Organization,count
Whitehead Rd.,2.5557192004033933,NEW AND USED CAR DEALERS,Third Closest New and Used Car Dealer,count
Whitehead Rd.,2.5657862168907117,AUTO REPAIR AND MAINTENANCE,Third Closest Autmotive Repair and Maintenance,count
Winterville,1.849220839940482,CONVENIENCE STORES,Third Closest Convenience Store,count
Winterville,2.8151681010473304,SUPERMARKETS AND OTHER GROCERY (EXCEPT CONVENIENCE),Third Closest Supermarket and Grocery Store,count
Winterville,2.511410601636693,OFFICE OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS),Third Closest Physicians Office,count
Winterville,2.9060470150947864,OFFICES OF MENTAL HEALTH PRACTITIONERS (EXCEPT PHYSICIANS),Third Closest Mental Health Practitioner or Outpatient Center,count
Winterville,3.749463802622048,OFFICES OF DENTISTS,Third Closest Dentist,count
Winterville,3.119460405577174,PHARMACIES AND DRUG RETAILERS,Third Closest Pharmacy and Drug Retailer,count
Winterville,2.563998289849613,FITNESS AND RECREATIONAL SPORTS CENTERS,Third Closest Fitness and Recreactional Center,count
Winterville,3.1434298804097183,CHILD DAY CARE SERVICES,Third Closest Child Day Care Services,count
Winterville,2.091238778866608,REAL ESTATE PROPERTY MANAGERS,Third Closest Real Estate Property Manager,count
Winterville,3.2287926716360418,OFFICES OF LAWYERS,Third Closest Office of Lawyers,count
Winterville,2.9556809643799977,NON-PROFIT ORGANIZATION,Third Closest Non-Profit Organization,count
Winterville,4.202705224991684,NEW AND USED CAR DEALERS,Third Closest New and Used Car Dealer,count
Winterville,2.4126584615146394,AUTO REPAIR AND MAINTENANCE,Third Closest Autmotive Repair and Maintenance,count
