Customer #,Full Name,DBA Name,Full Primary Address,Full Mailing Address,Work Phone #,NAICS Description
128950,AUTOMETRIC ENTERPRISES LLC,AUTOMETRIC ENTERPRISES,186 CATAWBA AVE ATHENS  GA 30606-4304,186 CATAWBA AVE ATHENS  GA 30606-4304,(919) 491-9406,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES
131388,BEARLY PURRFECT LLC,BEARLY PURRFECT,108 BERLIN ST APT 3 ATHENS  GA 30601,108 BERLIN ST APT 3 ATHENS  GA 30601,(404) 431-0125,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES
128913,BEVERLY VARNADO LLC,BEVERLY VARNADO LLC,210 ATKINSON DR ATHENS  GA 30606,210 ATKINSON DR ATHENS  GA 30606,(706) 546-9194,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES
134145,BROOM AND CANDLE LLC,BROOM AND CANDLE LLC,375 BROOKSTONE DR ATHENS  GA 30605-4335,375 BROOKSTONE DR ATHENS  GA 30605-4335,(706) 248-0874,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES
131491,CAROLYN'S STUFF AND MORE,CAROLYN'S STUFF AND MORE,408 JEFFERSON RIVER RD ATHENS  GA 30607-1551,408 JEFFERSON RIVER RD ATHENS  GA 30607-1551,(706) 850-6228,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES
128049,CMC INDUSTRIAL SUPPLY LLC,CMC INDUSTRIAL SUPPLY LLC,265 COMMERCE RD SUITE 15 ATHENS  GA 30606,1050 WINDY CREEK DR WATKINSVILLE  GA 30677,(706) 296-7879,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES
133619,CONVENIENCE MART LLC,CONVENIENCE MART LLC,480 E BROAD ST 102 ATHENS  GA 30601,480 E BROAD ST 102 ATHENS  GA 30601,(706) 351-5810,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES
125983,CREATIVE MIX PARFUM LLC,CREATIVE MIX PARFUM LLC,158 CANDY CIR WINTERVILLE  GA 30683-9509,158 CANDY CIR WINTERVILLE  GA 30683-9509,(706) 202-6985,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES
101524,DAVIS WORLDWIDE INC,DAVIS WORLDWIDE INC,3700 ATLANTA HWY 82 ATHENS  GA 30606,3700 ATLANTA HWY 82 ATHENS  GA 30606,(706) 338-3083,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES
128403,DIDDLY SQUAT LLC,DIDDLY SQUAT LLC,102 FAIRWAY TER ATHENS  GA 30607,102 FAIRWAY TER ATHENS  GA 30607,(706) 224-8674,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES
93705,DIXIE PEACHES COUTURE LLC,THE PREPPY PEACH,890  OLD HULL RD ATHENS  GA 30601,324 MEELER CIR BOGART  GA 30622,(706) 549-4531,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES
68247,DOUBLE NICKLE INC,DOUBLE NICKLE INC,139 TOWNS GROCERY RD ATHENS  GA 30605,139 TOWNS GROCERY RD ATHENS  GA 30605,(706) 548-6194,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES
133686,DUVALL DELUXE LLC,DUVALL DELUXE LLC,117  COVINGTON PL ATHENS  GA 30606,117  COVINGTON PL ATHENS  GA 30606,(706) 818-2403,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES
128971,ECARRART,ECARRART,210 WHITEHALL RD 9A ATHENS  GA 30605-4262,210 WHITEHALL RD 9A ATHENS  GA 30605-4262,(804) 712-2670,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES
129398,FAMILIAR GAMES LLC,FAMILIAR GAMES LLC,120 WESTWOOD DR ATHENS  GA 30606,120 WESTWOOD DR ATHENS  GA 30606,(928) 277-7341,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES
106202,FLAT ROCK SERVICES INC,OCONEE OFF-ROAD,3975 ATLANTA HWY ATHENS  GA 30606,3975 ATLANTA HWY ATHENS  GA 30606,(706) 769-2014,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES
133543,FLYII ALIEN LLC,FLYII ALIEN LLC,750 GAINES SCHOOL RD. APT G124 ATHENS  GA 30605,750 GAINES SCHOOL RD. APT G124 ATHENS  GA 30605,(678) 232-0057,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES
132107,GROUP BSBIZTOGO LLC,BSBIZ AFRICAN GROCERY ONLINE (BAGO),135 ONYX PL ATHENS  GA 30605,PO BOX 243 ATHENS  GA 30603,(706) 363-1210,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES
126375,HEPWORTH FIBER ARTS AND HEPWORTH TRANSCRIPTION,HEPWORTH FIBER ARTS AND HEPWORTH TRANSCRIPTION,340 PICCADILLY SQ APT G8 ATHENS  GA 30605-3063,340 PICCADILLY SQ APT G8 ATHENS  GA 30605-3063,(801) 864-9348,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES
127526,HG RETAIL GROUP LLC,HG RETAIL GROUP LLC,238 MADISON HTS ATHENS  GA 30601,PO BOX 402 ATHENS  GA 30603,(770) 655-4022,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES
125597,HORTICULT LLC,HORTICULT LLC,435  RIVERMONT RD ATHENS  GA 30606,PO BOX 190285 ATLANTA  GA 31119-0285,(404) 825-6504,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES
120839,IBERIAN PUBLISHING,IBERIAN PUBLISHING,548  CEDAR CREEK DR ATHENS  GA 30605,548  CEDAR CREEK DR ATHENS  GA 30605,(706) 546-6740,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES
124378,INBOOKS PLUS LLC,BOOKS R BOOKS,3701 ATLANTA HWY STE 9 ATHENS  GA 30606,1096 ORCHARD CT WATKINSVILLE  GA 30677,(706) 254-5688,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES
133446,J & M PRODUCTS LLC,J & M PRODUCTS LLC,130 KNOB LICK DR ATHENS  GA 30605-3426,130 KNOB LICK DR ATHENS  GA 30605-3426,(513) 250-0873,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES
113029,JAY'S BARBER & BEAUTY SUPPLY,JAY'S BARBER & BEAUTY SUPPLY,1037 BAXTER ST C ATHENS  GA 30606,1037 BAXTER ST C ATHENS  GA 30606,(678) 634-9854,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES
134139,JESUS GAVE IT ALL,JESUS GAVE IT ALL,1000 LAKESIDE DR APT 201 ATHENS  GA 30605,1000 LAKESIDE DR APT 201 ATHENS  GA 30605,(706) 338-0695,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES
132703,JFP GAMING,JFP GAMING,160 WYNTER CT APT C15 ATHENS  GA 30601,160 WYNTER CT APT C15 ATHENS  GA 30601,(586) 556-0024,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES
132795,JOGI NIVAS LLC,JOGI NIVAS LLC,340 VISTA DR ATHENS  GA 30605-3736,340 VISTA DR ATHENS  GA 30605-3736,(706) 255-1557,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES
128631,JONATHAN WOODALL,JONATHAN WOODALL,1101 OLD CREEK DR #A2 ATHENS  GA 30607,105 OAK HILL DR ATHENS  GA 30601-4429,(330) 592-2265,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES
121725,KLH SPECIALTY CARDS & GIFTS LLC,KLH SPECIALTY CARDS & GIFTS LLC,175  HOLLY LN ATHENS  GA 30606,175  HOLLY LN ATHENS  GA 30606,(706) 369-9098,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES
120351,LESSIE RENEE,LESSIE RENEE,135 WINTERSETT PL WINTERVILLE  GA 30683,135 WINTERSETT PL WINTERVILLE  GA 30683,(706) 742-5667,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES
133308,LOVE HARMONY AND SUCCESS,LOVE HARMONY AND SUCCESS,2360 W BROAD ST APT Q4 ATHENS  GA 30606,2360 W BROAD ST APT Q4 ATHENS  GA 30606,(706) 410-5271,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES
113730,MACRO INSIGHT GLOBAL INC,MACRO INSIGHT GLOBAL INC,141 BEN BURTON CIR BOGART  GA 30622,1909 S MILLEDGE AVE #6 ATHENS  GA 30605,(706) 461-4351,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES
104296,MADD-DEALZ,MADD-DEALZ,130 PARADISE BLVD ATHENS  GA 30607,192 NORTH FORT CT ATHENS  GA 30606,(706) 254-3821,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES
128713,MEILANDIA LLC,MEILANDIA LLC,148 ASHBROOK DR ATHENS  GA 30605,148 ASHBROOK DR ATHENS  GA 30605,(706) 543-9465,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES
130286,NATALIE BUTLER,NATALIE BUTLER,357 NOKETCHEE DR ATHENS  GA 30601-4085,357 NOKETCHEE DR ATHENS  GA 30601-4085,(706) 461-1687,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES
132755,NATURALLY ALMONE,NATURALLY ALMONE,681 W VINCENT DR ATHENS  GA 30607,681 W VINCENT DR ATHENS  GA 30607,(706) 202-8309,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES
133942,NORMAL GOODS MERCANTILE LLC,NORMAL GOODS MERCANTILE LLC,540 HOLMAN AVE ATHENS  GA 30606-2626,540 HOLMAN AVE ATHENS  GA 30606-2626,(770) 289-3128,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES
122170,PHAZE I LLC,PHAZE I LLC,120 MANDY DR ATHENS  GA 30601-2117,120 MANDY DR ATHENS  GA 30601-2117,(706) 296-4147,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES
132827,PORKY GOODNESS LLC,PORKY GOODNESS LLC,175 SUNSET DR ATHENS  GA 30606,175 SUNSET DR ATHENS  GA 30606,(706) 255-9235,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES
133555,PRISSY N PINK BOUTIQUE LLC,PRISSY N PINK BOUTIQUE LLC,1875 COMMERCE RD STE A ATHENS  GA 30607-1082,2007 KIRKLAND CIR STATHAM  GA 30666,(706) 853-8184,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES
132986,Q'S SCRUB WORLD,Q'S SCRUB WORLD,2360 W BROAD ST APT C-14 ATHENS  GA 30606,2360 W BROAD ST APT C-14 ATHENS  GA 30606,(706) 425-9013,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES
132806,QUI TRENDZ,QUI TRENDZ,115 BERLIN ST APT 13 ATHENS  GA 30601,115 BERLIN ST APT 13 ATHENS  GA 30601,(706) 510-4202,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES
131369,REID'S ARTS AND CREATIONS LLC,REID'S ARTS AND CREATIONS LLC,184  MERLIN DR ATHENS  GA 30606,184  MERLIN DR ATHENS  GA 30606,(706) 296-6553,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES
74797,RIGGUY INC,RIGGUY INC,255 RIVERBOTTOM RD ATHENS  GA 30605,255 RIVERBOTTOM RD ATHENS  GA 30605,(706) 208-8009,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES
82174,ROBERTSON ONLINE TRADING,ROBERTSON ONLINE TRADING,110  FRONTIER CT ATHENS  GA 30605,110  FRONTIER CT ATHENS  GA 30605,(706) 549-6875,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES
128776,RUDE FIT BOUTIQUE,RUDE FIT BOUTIQUE,115 E HANCOCK ATHENS  GA 30601,115 E HANCOCK ATHENS  GA 30601,(706) 201-1617,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES
131662,SENSATION MEDITATION LLC,SENSATION MEDITATION LLC,120 WINDY HILL PL ATHENS  GA 30606-3318,1720 EPPS BRIDGE PKWY STE 108 #380 ATHENS  GA 30606,(706) 338-6879,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES
134209,SG MARTIN LLC,SG MARTIN LLC,116 BRISTOL WOODS DR ATHENS  GA 30606,116 BRISTOL WOODS DR ATHENS  GA 30606,(706) 224-2887,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES
130563,SIMPLY GOTH BOUTIQUE LLC,SIMPLY GOTH BOUTIQUE LLC,196 ALPS RD SUITE 2-189 ATHENS  GA 30606,196 ALPS RD SUITE 2-189 ATHENS  GA 30606,(706) 766-6263,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES
133733,SULLINS ONLINE RETAIL LLC,SULLINS ONLINE RETAIL LLC,170 HIDDEN COVE DR BOGART  GA 30622,170 HIDDEN COVE DR BOGART  GA 30622,(706) 773-3849,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES
129362,SUNDAY JEWELERS LLC,SUNDAY JEWELERS LLC,305 IRON WOOD WAY ATHENS  GA 30605,305 IRON WOOD WAY ATHENS  GA 30605,(954) 540-7594,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES
78944,SUSAN HENDERSON,HENDERSONS,265 MILLEDGE TER ATHENS  GA 30606-4937,265 MILLEDGE TER ATHENS  GA 30606-4937,(706) 247-6634,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES
125003,SYLVIA SCHAEFER,FLYING PARROT QUILTS,208 EAST CREEK BND ATHENS  GA 30605,208 EAST CREEK BND ATHENS  GA 30605,(706) 247-5753,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES
132788,TEAL ROSES BOUTIQUE,TEAL ROSES BOUTIQUE,162 CALVIN ST ATHENS  GA 30601,PO BOX 5954 ATHENS  GA 30604-5954,(706) 224-1854,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES
121233,TERRA FIRMA AUTO GROUP LLC,TERRA FIRMA,357 OAK ST ATHENS  GA 30601,200 FEATHERWOOD HOLW ATHENS  GA 30601,(805) 450-4130,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES
111376,THE PEARL GIRLS,THE PEARL GIRLS,548  HAWTHORNE AVE ATHENS  GA 30606,548  HAWTHORNE AVE ATHENS  GA 30606,(706) 850-5296,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES
94296,UBERPRINTS INC,UBERPRINTS INC,115 RUTH DR ATHENS  GA 30601,115 RUTH DR ATHENS  GA 30601,(866) 440-8237,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES
109643,"UBERPRINTS, INC","UBERPRINTS, INC",240 COLLINS INDUSTRIAL BLVD ATHENS  GA 30601-1518,115 RUTH DR ATHENS  GA 30605,(866) 440-8237,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES
112600,VANHASSEL MERCHANDISING,VANHASSEL MERCHANDISING,310  PINE FOREST DR ATHENS  GA 30606,310  PINE FOREST DR ATHENS  GA 30606,,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES
121018,VATAVA,VATAVA,110 NICOLE CIR ATHENS  GA 30606-1137,110 NICOLE CIR ATHENS  GA 30606-1137,(706) 548-9478,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES
132626,VICTORIA HIJAR & APRICITY BOUTIQUE,VICTORIA HIJAR & APRICITY BOUTIQUE,1000 LAKESIDE DR APT 360 ATHENS  GA 30605,1000 LAKESIDE DR APT 360 ATHENS  GA 30605,(706) 255-7941,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES
128503,WHITNEY BANKS & WILLIAM BANKS,WHITNEY BANKS JEWELRY,462 HUNTINGTON RD ATHENS  GA 30606,462 HUNTINGTON RD ATHENS  GA 30606,(706) 248-3635,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES
129691,WICKED WORLD LLC,WICKED WORLD LLC,110  CURTIS DR ATHENS  GA 30605,110  CURTIS DR ATHENS  GA 30605,(917) 399-8793,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES
130584,HARRIS VENTURES INC,STAFF ZONE,1054 BAXTER ST ATHENS  GA 30606,863 HOLCOMB BRIDGE RD ROSWELL  GA 30076,(706) 850-2270,EMPLOYMENT PLACEMENT AGENCIES
123955,PEOPLEREADY,PEOPLEREADY,1063 BAXTER ST #500 ATHENS  GA 30606,PO BOX 2910 TACOMA  WA 98401,(253) 680-8355,EMPLOYMENT PLACEMENT AGENCIES
76798,PRO NURSE LLC,INDEPENDENCE ANESTHESIA SV,3722 ATLANTA HWY STE 1 ATHENS  GA 30606-1863,3722 ATLANTA HWY STE 1 ATHENS  GA 30606-1863,(770) 725-8545,EMPLOYMENT PLACEMENT AGENCIES
126315,ALIGN MACHINE WORKS LLC,ALIGN MACHINE WORKS LLC,585 BARBER ST STUDIO G ATHENS  GA 30601,585 BARBER ST STUDIO G ATHENS  GA 30601,(404) 247-0512,ENGINEERING SERVICES
133107,APPLIED MECHANICS INTERNATIONAL INC,APPLIED MECHANICS INTERNATIONAL INC,295 PARKWAY DR ATHENS  GA 30606-4949,PO BOX 392 ATHENS  GA 30603,(502) 228-9007,ENGINEERING SERVICES
130516,BETAJET LLC,BETAJET LLC,585 BARBER ST STE G ATHENS  GA 30601-2390,585 BARBER ST STE G ATHENS  GA 30601-2390,(404) 247-0512,ENGINEERING SERVICES
133175,ENSEMBLED ARCHITECTURE AND ENGINEERING LLC,ENSEMBLED,257 CARRINGTON DR ATHENS  GA 30605,257 CARRINGTON DR ATHENS  GA 30605,(706) 207-9751,ENGINEERING SERVICES
77838,GEO-HYDRO ENGINEERS INC,GEO-HYDRO ENGINEERS INC,190 BEN BURTON RD STE C BOGART  GA 30622-6832,1000 COBB PLACE BLVD SUITE 290 KENNESAW  GA 30144,(706) 354-1800,ENGINEERING SERVICES
75067,HEERY INTERNATIONAL INC,HEERY INTERNATIONAL INC,3550 LENOX RD NE SUITE 2300 ATLANTA  GA 30326,3550 LENOX RD NE SUITE 2300 ATLANTA  GA 30326,(404) 881-9880,ENGINEERING SERVICES
99955,JACOBS ENGINEERING GROUP INC,JACOBS ENGINEERING GROUP INC,301 COLLEGE AVE SUITE 101 ATHENS  GA 30603,9191 S JAMAICA ST ATT TAX DEPT ENGLEWOOD  CO 80112,(626) 578-3500,ENGINEERING SERVICES
133103,NOVA ENGINEERING AND ENVIRONMENTAL LLC,NOVA ENGINEERING AND ENVIRONMENTAL LLC,255 COMMERCE DR SUITE 8 BOGART  GA 30622,3900 KENNESAW 75 PKWY SUITE 100 KENNESAW  GA 30144,(770) 425-0777,ENGINEERING SERVICES
130520,PRUITT DESIGN LLC,PRUITT DESIGN LLC,585 BARBER ST STE G ATHENS  GA 30601-2390,585 BARBER ST STE G ATHENS  GA 30601-2390,(404) 247-0512,ENGINEERING SERVICES
130503,WILLIAMS & ASSOCIATES LAND PLANNERS PC,W & A ENGINEERING,355 ONETA ST SUITE D 100 ATHENS  GA 30601,355 ONETA ST SUITE D 100 ATHENS  GA 30601,(706) 310-0400,ENGINEERING SERVICES
78968,NUTTER & ASSOCIATES INC,NUTTER & ASSOCIATES INC,360 HAWTHORNE LN ATHENS  GA 30606-2152,360 HAWTHORNE LN ATHENS  GA 30606-2152,(706) 354-7925,ENVIRONMENTAL CONSULTING SERVICES
133576,STEADFAST USA LLC,STEADFAST USA LLC,299 KENNINGTON DR ATHENS  GA 30606-4505,299 KENNINGTON DR ATHENS  GA 30606-4505,(770) 861-9096,ENVIRONMENTAL CONSULTING SERVICES
82471,AARDVARK EXTERMINATING,AARDVARK EXTERMINATING,357 OAK ST STE A ATHENS  GA 30601,PO BOX 6294 ATHENS  GA 30604,(706) 353-7073,EXTERMINATING AND PEST SERVICES
77786,AMERICAN PEST CONTROL INC,AMERICAN PEST CONTROL INC,3145 ATLANTA HWY ATHENS  GA 30606,PO BOX 6467 ATHENS  GA 30604,(706) 546-1490,EXTERMINATING AND PEST SERVICES
67827,ARROW EXTERMINATORS,ARROW EXTERMINATORS,1952 W BROAD ST ATHENS  GA 30606-3542,8613 ROSWELL RD NE BLDG 4 ATLANTA  GA 30350,(706) 765-2120,EXTERMINATING AND PEST SERVICES
68235,ATHENS EXTERMINATING INC,ATHENS EXTERMINATING INC,7080  SMOKEY RD ATHENS  GA 30601,PO BOX 5772 ATHENS  GA 30604,(706) 510-0160,EXTERMINATING AND PEST SERVICES
112180,BITES PEST SOLUTIONS INC,ORKIN PEST CONTROL,130 CONWAY DR SUITE B BOGART  GA 30622,130 CONWAY DR SUITE B BOGART  GA 30622,(706) 546-1051,EXTERMINATING AND PEST SERVICES
129977,RENTOKIL NORTH AMERICA INC,ACTIVE PEST CONTROL,0  ATHENS CLARKE CO ADDRESS ATHENS  GA 30601,1125 BERKSHIRE BLVD SUITE 150 READING  PA 19610,(800) 488-9495,EXTERMINATING AND PEST SERVICES
132618,THE TERMINIX INTERNATIONAL CO LP,THE TERMINIX INTERNATIONAL CO LP,110 NEWTON BRIDGE RD STE 100 ATHENS  GA 30607,150 PEABODY PL FAX-0020 MEMPHIS  TN 38103,(901) 597-8229,EXTERMINATING AND PEST SERVICES
78866,AE OUTFITTERS RETAIL CO,AMERICAN EAGLE OUTFITTERS #354,3700 ATLANTA HWY SUITE 23 ATHENS  GA 30606-3155,77 HOT METAL ST PITTSBURGH  PA 15203,(706) 613-1441,FAMILY CLOTHING STORES
132866,BURLINGTON COAT FACTORY WHSE CORP,BURLINGTON COAT FACTORY WHSE CORP,191 ALPS RD UNIT 15 & 16 ATHENS  GA 30606,1830 ROUTE 130 NORTH BURLINGTON  NJ 08016-0317,(609) 387-7800,FAMILY CLOTHING STORES
75160,CITI TRENDS INC,CITI TRENDS #031,3190 ATLANTA HWY BAY 118A ATHENS  GA 30606,104 COLEMAN BLVD SAVANNAH  GA 31408,(706) 227-6112,FAMILY CLOTHING STORES
133011,CITY GEAR #6157,CITY GEAR #6157,4375 LEXINGTON RD STE C6 ATHENS  GA 30605,2700 MILAN CT BIRMINGHAM  AL 35211-6919,(205) 912-7339,FAMILY CLOTHING STORES
81515,HALF-MOON OUTFITTERS INC,HALF-MOON OUTFITTERS INC,394 PRINCE AVE ATHENS  GA 30601-2447,1084 EAST MONTAGUE AVE NORTH CHARLESTON  SC 29405,(706) 548-7225,FAMILY CLOTHING STORES
79443,LORETTA PALUCK,DYNAMITE CLOTHING,143 N JACKSON ST ATHENS  GA 30601,143 N JACKSON ST ATHENS  GA 30601,(706) 543-1243,FAMILY CLOTHING STORES
86279,NEW RUE 21 LLC,RUE 21 #720,3700 ATLANTA HWY #234 ATHENS  GA 30606,800 COMMONWEALTH DR STE 100 ATTN: TAX #720 WARRENDALE  PA 15086,(724) 776-9780,FAMILY CLOTHING STORES
79501,TALBOTS INC #622,TALBOTS INC #622,196 ALPS RD SUITE 8 ATHENS  GA 30606,175  BEAL ST HINGHAM  MA 02043,(781) 741-4784,FAMILY CLOTHING STORES
77909,TJX COMPANIES THE,T J MAXX #679/SALES TAX DE,196 ALPS RD SUITE 8 ATHENS  GA 30606,PO BOX 9358 FRAMINGHAM  MA 01701,(774) 308-3511,FAMILY CLOTHING STORES
77582,CERTAIN TEED CORP,CERTAIN TEED CORP,425 ATHENA DR ATHENS  GA 30601-1618,20 MOORES RD ATTN: SALES TAX DEPT MALVERN  PA 19355,(706) 546-9005,FIBERGLASS MANUFACTURING
131970,CLASSIC CITY BANK,CLASSIC CITY BANK,2365 W BROAD ST ATHENS  GA 30606,PO BOX 7238 ATHENS  GA 30604,(706) 222-2265,"FINANCIAL TRANSACTIONS PROCESSING, RESERVE, AND CLEARINGHOUSE ACTIVITIES"
76229,TITLE MAX OF GA INC,TITLE MAX OF ATHENS #2,115 GAINES SCHOOL RD ATHENS  GA 30605,15 BULL ST STE 200 SAVANNAH  GA 31401-2615,(706) 549-5155,"FINANCIAL TRANSACTIONS PROCESSING, RESERVE, AND CLEARINGHOUSE ACTIVITIES"
79932,TITLE MAX OF GEORGIA INC,TITLE MAX OF ATHENS #1,2225 W BROAD ST ATHENS  GA 30606,15 BULL ST STE 200 SAVANNAH  GA 31401-2615,(706) 227-0113,"FINANCIAL TRANSACTIONS PROCESSING, RESERVE, AND CLEARINGHOUSE ACTIVITIES"
100550,ARTINI'S INC,ARTINI'S,337 PRINCE AVE ATHENS  GA 30601,337 PRINCE AVE ATHENS  GA 30601,(404) 414-8906,FINE ARTS SCHOOLS
74574,ATHENS SCHOOL OF MUSIC,ATHENS SCHOOL OF MUSIC,1550 LEXINGTON RD SUITE C ATHENS  GA 30605,1550 LEXINGTON RD SUITE C ATHENS  GA 30605,(706) 543-5800,FINE ARTS SCHOOLS
79643,CANOPY STUDIO,CANOPY STUDIO,160 TRACY ST #6 ATHENS  GA 30601,160 TRACY ST #6 ATHENS  GA 30601,(706) 543-5017,FINE ARTS SCHOOLS
74756,RMS CLAY INC,GOOD DIRT,485 MACON HWY ATHENS  GA 30606-5154,135  SNAPFINGER DR ATHENS  GA 30605,(706) 355-3161,FINE ARTS SCHOOLS
75177,JIM B TALLEY,TALLEYS TURNINGS,180  DEVONSHIRE  DR ATHENS  GA 30606,180  DEVONSHIRE  DR ATHENS  GA 30606,(706) 353-7675,FINISH CARPENTRY CONTRACTORS
134201,ATHENS SEAFOOD MARKET LLC,ATHENS SEAFOOD MARKET LLC,2362 W BROAD ST SUITE A ATHENS  GA 30606,175 TREMONT CIR ATHENS  GA 30606,(706) 215-7483,FISH AND SEAFOOD MARKET
132976,360 IMAGE FITNESS,360 IMAGE FITNESS,3701 ATLANTA HWY SUITE 27-28 ATHENS  GA 30606,3701 ATLANTA HWY SUITE 27-28 ATHENS  GA 30606,(706) 540-4966,FITNESS AND RECREATIONAL SPORTS CENTERS
96640,ACTIVE CLIMBING LLC,ACTIVE CLIMBING LLC,665 BARBER ST ATHENS  GA 30601,665 BARBER ST ATHENS  GA 30601,(706) 354-0038,FITNESS AND RECREATIONAL SPORTS CENTERS
129405,ADVENTURE ATHLETE LLC,ADVENTURE ATHLETE LLC,150 CHEROKEE FOREST DR ATHENS  GA 30601,150 CHEROKEE FOREST DR ATHENS  GA 30601,(770) 630-8952,FITNESS AND RECREATIONAL SPORTS CENTERS
95890,AKF ATHENS MARTIAL ARTS,AKF ATHENS MARTIAL ARTS,2415 JEFFERSON RD STE C ATHENS  GA 30606,1146 TOWNE SQUARE LN ATHENS  GA 30607,(706) 353-7743,FITNESS AND RECREATIONAL SPORTS CENTERS
133762,ATHENS AREA FITNESS CLUB LLC,CREED FITNESS,2361 W BROAD ST SUITE 1200 ATHENS  GA 30606-3421,2361 W BROAD ST SUITE 1200 ATHENS  GA 30606-3421,(678) 665-1463,FITNESS AND RECREATIONAL SPORTS CENTERS
79114,ATHENS PERSONAL FITNESS INC,ATHENS PERSONAL FITNESS,1550 TIMOTHY RD STE 101 ATHENS  GA 30606-7834,1550 TIMOTHY RD STE 101 ATHENS  GA 30606-7834,(706) 425-9797,FITNESS AND RECREATIONAL SPORTS CENTERS
112602,C&P FITNESS LLC,PURE BARRE,191 ALPS RD SUITE 17 ATHENS  GA 30606-4092,191 ALPS RD SUITE 17 ATHENS  GA 30606-4092,(706) 850-4000,FITNESS AND RECREATIONAL SPORTS CENTERS
132550,CASTRO'S MARTIAL ARTS CENTER,CASTRO'S MARTIAL ARTS CENTER,2145 W BROAD ST ATHENS  GA 30606,2145 W BROAD ST ATHENS  GA 30606,,FITNESS AND RECREATIONAL SPORTS CENTERS
131794,CENTER CITY BALLET AND MOVEMENT ARTS,CENTER CITY BALLET AND MOVEMENT ARTS,750 N CHASE ST ATHENS  GA 30601-1902,750 N CHASE ST ATHENS  GA 30601-1902,(706) 850-6540,FITNESS AND RECREATIONAL SPORTS CENTERS
131123,CLASSIC CITY CYCLING,CLASSIC CITY CYCLING,230 W CLAYTON ST ATHENS  GA 30601,3344 LEES AVE LONG BEACH  CA 90808,(706) 850-8033,FITNESS AND RECREATIONAL SPORTS CENTERS
